run_id,bank_id,seed_id,route_pair_id,matching_regime,retrieval_backend,slot_index,A_paper_id,B_paper_id,cost_units,lexical_relevance_gap,lexical_bm25_gap,length_z_gap,subfield_disagreement,date_gap_days,dense_gap,embedding_distance
F0R-9f61bff4538465a7a96f,3fec1e21bb89687c7473f49953bf30ce04921d6e2f6afdef95f9f19baf5831db,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,2,ICLR2025_270339c997293ca2988c62f4308e389f,ICLR2025_460a1d8eac34125dad453b28d6d64446,105714,0.0069857562359344205,0.15294624601022744,0.4335497530598564,0,,,
F0R-9f61bff4538465a7a96f,3fec1e21bb89687c7473f49953bf30ce04921d6e2f6afdef95f9f19baf5831db,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R1,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,3,ICLR2025_d52b3500a00748169dd4dad80fb75357,ICLR2025_42f92b78a6695f60db0cd38b54d57a41,70219,0.01799657648687928,0.12561565765864913,0.21677487652992822,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,1,ICLR2025_0ae94013da7cd459402fd77874e09ee3,ICLR2025_49c1879ae366644ce2c17fb39ddea982,52807,0.015102153767138526,0.08272130980096226,0.17893977077552092,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,2,ICLR2025_17061a94c3c7fda5fa24bbdd1832fa99,ICLR2025_eea71dc576381b88f2a0ca4dedc2140d,114258,0.035591076750770154,0.27299787363065575,0.22367471346940104,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,3,ICLR2025_25458943db16e0f78f748ca5bc34fff6,ICLR2025_146b5b0feb14fe8e630669ad1faba25e,93987,0.027872617223210522,0.014834214759881392,0.5368193123265624,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,4,ICLR2025_2722a0ccf6acfe3d144fdbb0dedd80b5,ICLR2025_f0b1515be276f6ba82b4f2b25e50bef0,62776,0.031490952731481475,0.09965338282232616,0.1789397707755208,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,5,ICLR2025_37bf751554eb05465ed5dc60dced3f38,ICLR2025_01fb6de3360f9e32862665580e2c5853,72991,0.002881818141319138,0.04636051963442489,0.40261448424492186,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,6,ICLR2025_5e50b663324972bb8cc7b5c06a059438,ICLR2025_70fa5df8e3300dc30bf19bee44a56155,22865,0.007813193869904207,0.0,0.13420482808164058,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,7,ICLR2025_68933e3533add841e115a5605c76eeba,ICLR2025_d033407a1a4b7a75cd5f9e4575ad9fb5,40993,0.01791597991731777,0.03152630487454361,0.1789397707755207,0,,,
F0R-9f61bff4538465a7a96f,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,LEXICAL_LEGACY_NO_DATE_PROVISIONAL,LEXICAL_PROVISIONAL,8,ICLR2025_842714f78c95096e20ac7d2591c5a24b,ICLR2025_09afabe33dc7db66530dea6483b22e5d,28390,0.021750370839313,0.029428446613060988,0.08946988538776035,0,,,
