seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_00c5c0f92581f8b8230c9f349126a73a,R3,15,1,15,1,200977,MEASURED,eaa83b223d75ac7f1937d5f653dc346915c57c33bd144194c12d72b2573f3754,14
SEED_ICLR2026_00c5c0f92581f8b8230c9f349126a73a,R4,0,1,0,0,,MEASURED,34ff4bb8ea36f24cb0d527f5bdd0f279826e56da200a8323de70b20549fde13e,1
SEED_ICLR2026_00d1f03b87a401b1c7957e0cc785d0bc,R1,70,2,128,2,111136.0,MEASURED,171868906a0159194cdd4878d3f4d9bd8f27ff57dec5c8a3968d208a10c12e87,68
SEED_ICLR2026_00d1f03b87a401b1c7957e0cc785d0bc,R2,70,10,649,10,102133.5,MEASURED,e568a216b0736cbdce9e02883d5ffbaa9e5e35df3b57c18fa739e9bf86323db5,60
SEED_ICLR2026_00d1f03b87a401b1c7957e0cc785d0bc,R3,70,4,233,4,106476.0,MEASURED,9ded0e17cada4c4cdb528cc3b729e74b91a74c67cd148d4c89242f29cd3964f2,66
SEED_ICLR2026_00d1f03b87a401b1c7957e0cc785d0bc,R4,2,4,8,2,207512.0,MEASURED,35f258043c0c1c22798e904bf7fbb1a19862325c31cf094812c232c8b74001d5,2
SEED_ICLR2026_00ffe234ea4ea394a8a4d8e29804641e,R1,45,1,43,1,30865,MEASURED,e6f035d83d46453d4b0ca258db6e57ec7bcd141ad157f78d723b9d2ac74cc6f6,44
SEED_ICLR2026_00ffe234ea4ea394a8a4d8e29804641e,R2,45,6,235,6,35246.0,MEASURED,1ea65094cfbd7b68beb92df396e0e82febb8996cfd64a30809dc1c4b51ea0369,39
SEED_ICLR2026_00ffe234ea4ea394a8a4d8e29804641e,R3,45,2,71,2,114316.5,MEASURED,183bd88a506ebfc1814d40a396e4510b6c5cf0cd456c70fbbba9214f214ff6c2,43
SEED_ICLR2026_00ffe234ea4ea394a8a4d8e29804641e,R4,1,2,2,1,246181,MEASURED,7b10d1e7592bc83bad09a731b41981b01395415f774dd5dc55bbc0a2d6ee5828,1
